OID_,Value,Classvalue,Class_name,Class_From,Class_To,Red,Green,Blue,Alpha,Count,Area
0,0,1,Corn: Irrigated,Corn: Irrigated,Corn: Irrigated,54,203,46,255,133.000000000000000,131294.615396000008332
1,1,44,Corn: Irrigated->Corn: Rainfed,Corn: Irrigated,Corn: Rainfed,143,148,51,255,225.000000000000000,222114.950857999996515
2,2,45,Corn: Irrigated->Wheat: Irrigated,Corn: Irrigated,Wheat: Irrigated,150,225,108,255,281.000000000000000,277396.894183000025805
3,3,46,Corn: Irrigated->Wheat: Rainfed,Corn: Irrigated,Wheat: Rainfed,48,205,98,255,104.000000000000000,102666.466174000001047
4,7,50,Corn: Irrigated->Other Grain: Irrigated,Corn: Irrigated,Other Grain: Irrigated,62,128,145,255,4.000000000000000,3948.710237469999811
5,8,51,Corn: Irrigated->Other Grain: Rainfed,Corn: Irrigated,Other Grain: Rainfed,94,108,115,255,7.000000000000000,6910.242915580000044
6,9,52,Corn: Irrigated->Fiber Crop: Irrigated,Corn: Irrigated,Fiber Crop: Irrigated,47,221,27,255,390.000000000000000,384999.248153999971692
7,10,53,Corn: Irrigated->Fiber Crop: Rainfed,Corn: Irrigated,Fiber Crop: Rainfed,82,142,128,255,24.000000000000000,23692.261424799999077
8,11,54,Corn: Irrigated->Fodder Grass: Irrigated,Corn: Irrigated,Fodder Grass: Irrigated,95,193,71,255,6.000000000000000,5923.065356209999663
9,12,55,Corn: Irrigated->Fodder Grass: Rainfed,Corn: Irrigated,Fodder Grass: Rainfed,49,119,39,255,22.000000000000000,21717.906306100001530
10,13,56,Corn: Irrigated->Fodder Herb: Irrigated,Corn: Irrigated,Fodder Herb: Irrigated,121,176,107,255,287.000000000000000,283319.959539000003133
11,14,57,Corn: Irrigated->Fodder Herb: Rainfed,Corn: Irrigated,Fodder Herb: Rainfed,94,212,86,255,77.000000000000000,76012.672071399996639
12,17,60,Corn: Irrigated->Other Arable Land,Corn: Irrigated,Other Arable Land,116,121,66,255,391.000000000000000,385986.425713000004180
13,30,73,Corn: Irrigated->Shrubland,Corn: Irrigated,Shrubland,46,127,134,255,5.000000000000000,4935.887796840000192
14,36,79,Corn: Rainfed->Corn: Irrigated,Corn: Rainfed,Corn: Irrigated,149,28,107,255,239.000000000000000,235935.436688999994658
15,37,2,Corn: Rainfed,Corn: Rainfed,Corn: Rainfed,140,13,42,255,2465.000000000000000,2433392.683840000070632
16,38,80,Corn: Rainfed->Wheat: Irrigated,Corn: Rainfed,Wheat: Irrigated,193,130,106,255,82.000000000000000,80948.559868199998164
17,39,81,Corn: Rainfed->Wheat: Rainfed,Corn: Rainfed,Wheat: Rainfed,91,110,96,255,1567.000000000000000,1546907.235529999947175
18,41,83,Corn: Rainfed->Oil Crop: Irrigated,Corn: Rainfed,Oil Crop: Irrigated,107,44,145,255,7.000000000000000,6910.242915580000044
