"from_class","to_class","count"
"0","0",2518246
"1","1",133
"1","2",224
"1","3",281
"1","4",103
"1","13",4
"1","14",7
"1","15",390
"1","16",22
"1","17",6
"1","18",20
"1","19",287
"1","20",77
"1","25",375
"1","38",5
"2","1",234
"2","2",2419
"2","3",82
"2","4",1559
"2","9",7
"2","10",28
"2","13",4
"2","14",556
"2","15",300
"2","16",198
"2","17",8
"2","18",664
"2","19",21
"2","20",724
"2","23",1
"2","24",21
"2","25",1201
"2","27",22
"2","28",245
"2","29",223
"2","30",483
"2","31",496
"2","35",2
"2","36",2
"2","38",356
"2","39",189
"2","40",17
"2","41",5
"3","1",308
"3","2",262
"3","3",442
"3","4",39
"3","13",6
"3","14",3
"3","16",1
"3","19",7
"3","20",2
"3","25",8
"3","38",1
"4","1",99
"4","2",561
"4","3",272
"4","4",2373
"4","6",1
"4","10",2
"4","13",13
"4","14",435
"4","15",1
"4","16",42
"4","18",120
"4","19",30
"4","20",411
"4","24",18
"4","25",307
"4","27",5
"4","28",319
"4","29",464
"4","30",1127
"4","31",577
"4","38",129
"4","39",75
"4","40",6
"4","41",1
"9","15",1
"9","17",1
"10","2",51
"10","3",2
"10","4",112
"10","10",67
"10","14",23
"10","15",7
"10","16",13
"10","18",29
"10","20",45
"10","24",3
"10","25",42
"10","28",23
"10","29",41
"10","30",56
"10","31",16
"10","38",17
"10","39",20
"10","40",1
"10","41",2
"12","29",2
"13","2",1
"13","3",14
"13","4",1
"13","13",1
"13","14",3
"13","17",3
"13","19",4
"13","25",35
"14","1",11
"14","2",76
"14","3",37
"14","4",174
"14","13",50
"14","14",269
"14","16",7
"14","18",45
"14","19",5
"14","20",118
"14","24",5
"14","25",147
"14","27",7
"14","28",75
"14","29",61
"14","30",137
"14","31",106
"14","36",1
"14","38",114
"14","39",46
"14","40",4
"14","41",5
"15","2",50
"15","3",151
"15","15",102
"15","16",3
"15","17",4
"15","20",4
"15","25",9
"16","1",4
"16","2",176
"16","3",15
"16","4",64
"16","14",41
"16","15",5
"16","16",32
"16","17",2
